Symbol,Date,Open,High,Low,Close,Volume
A,2-Jun-17,60.8,61.15,60.76,60.81,1666200
AA,2-Jun-17,32.39,33,32.35,32.86,2639900
AAAP,2-Jun-17,37.6,37.6,35.52,35.54,51100
AAC,2-Jun-17,6.46,6.66,6.32,6.5,119200
AADR,2-Jun-17,47.89,48.06,47.87,48.03,26200
AAL,2-Jun-17,49.56,50.47,49.37,49.52,7708500
AAMC,2-Jun-17,91.37,92.05,91.37,92,1500
AAME,2-Jun-17,3.75,3.8,3.75,3.8,600
AAN,2-Jun-17,38.02,39.49,37.55,39.15,1196400
AAOI,2-Jun-17,72.05,74.73,71.76,74.68,3986800
AAON,2-Jun-17,36.75,37.75,36.6,37.3,131100
AAP,2-Jun-17,136.98,138.23,136.13,137.8,1209100
AAPL,2-Jun-17,153.58,155.45,152.89,155.45,27770700
AAT,2-Jun-17,39.9,40.25,39.87,40.12,280400
AAU,2-Jun-17,1.33,1.4,1.32,1.38,166900
AAV,2-Jun-17,6.35,6.35,6.13,6.15,145500
AAWW,2-Jun-17,50.5,52.17,50.33,51.9,423300
AAXJ,2-Jun-17,67.69,67.8,67.55,67.78,856300
AAXN,2-Jun-17,24.42,24.83,24.4,24.52,600500
AB,2-Jun-17,22.7,22.95,22.5,22.8,703800
ABAC,2-Jun-17,1.93,2,1.91,2,6600
ABAX,2-Jun-17,49.35,50.9,49.33,50.73,112800
ABB,2-Jun-17,25.69,25.83,25.62,25.8,1953000
ABBV,2-Jun-17,66.81,67.31,66.62,67.25,5645900
ABC,2-Jun-17,93.5,93.84,92.71,93.58,1284900
ABCB,2-Jun-17,43.8,44.9,43.6,44.2,188900
ABCD,2-Jun-17,5,5.24,5,5.12,34300
ABCO,2-Jun-17,52.45,52.95,52.15,52.75,719000
ABDC,2-Jun-17,13.24,13.58,13.2,13.2,42600
ABE,2-Jun-17,13.95,13.95,13.95,13.95,100
ABEO,2-Jun-17,5.5,5.61,5.2,5.35,171600
ABEV,2-Jun-17,5.74,5.74,5.6,5.67,83589800
ABG,2-Jun-17,57.6,57.9,56.15,56.7,183000
ABIL,2-Jun-17,0.58,0.61,0.57,0.59,35800
ABIO,2-Jun-17,2.4,2.4,2.35,2.35,17300
ABM,2-Jun-17,43.96,44.93,43.96,44.28,209500
ABMD,2-Jun-17,141.12,142.49,140.61,141.55,300700
ABR,2-Jun-17,8.22,8.34,8.19,8.25,670600
ABR-A,2-Jun-17,25.64,25.64,25.64,25.64,100
