<ticker>,<name>,<date>,<open>,<high>,<low>,<close>,<vol>
A,Agilent Technologies,02062017,60.8,61.15,60.76,60.81,1666200
AA,Alcoa Corporation,02062017,32.39,33,32.35,32.86,2639900
AAAP,Advanced Accele. Ads,02062017,37.6,37.6,35.52,35.54,51100
AAC,Aac Holdings Inc,02062017,6.46,6.66,6.32,6.5,119200
AADR,Advisorshares Dorsey Wright ADR,02062017,47.89,48.06,47.87,48.03,26200
AAL,American Airlines Gp,02062017,49.56,50.47,49.37,49.52,7708500
AAMC,Altisource Asset,02062017,91.37,92.05,91.37,92,1500
AAME,Atlantic Amer Cp,02062017,3.75,3.8,3.75,3.8,600
AAN,Aaron's Inc,02062017,38.02,39.49,37.55,39.15,1196400
AAOI,Applied Optoelect Cmn,02062017,72.05,74.73,71.76,74.68,3986800
AAON,Aaon Inc,02062017,36.75,37.75,36.6,37.3,131100
AAP,Advance Auto Parts Inc,02062017,136.98,138.23,136.13,137.8,1209100
AAPL,Apple Inc,02062017,153.58,155.45,152.89,155.45,27770700
AAT,American Assets Trust,02062017,39.9,40.25,39.87,40.12,280400
AAU,Almaden Minerals,02062017,1.33,1.4,1.32,1.38,166900
AAV,Advantage Oil & Gas Ltd,02062017,6.35,6.35,6.13,6.15,145500
AAWW,Atlas Air Ww,02062017,50.5,52.17,50.33,51.9,423300
AAXJ,Ishares Aca X-Japan ETF,02062017,67.69,67.8,67.55,67.78,856300
AAXN,Axon Inc,02062017,24.42,24.83,24.4,24.52,600500
AB,Alliancebernstein Holding LP,02062017,22.7,22.95,22.5,22.8,703800
ABAC,Aoxin Tianli Grp,02062017,1.93,2,1.91,2,6600
ABAX,Abaxis Inc,02062017,49.35,50.9,49.33,50.73,112800
ABB,Abb Ltd,02062017,25.69,25.83,25.62,25.8,1953000
ABBV,Abbvie Inc,02062017,66.81,67.31,66.62,67.25,5645900
ABC,Amerisourcebergen Corp,02062017,93.5,93.84,92.71,93.58,1284900
ABCB,Ameris Bancorp,02062017,43.8,44.9,43.6,44.2,188900
ABCD,Cambium Learning Grp,02062017,5,5.24,5,5.12,34300
ABCO,Advisory Board Co,02062017,52.45,52.95,52.15,52.75,719000
ABDC,Alcentra Capital Com,02062017,13.24,13.58,13.2,13.2,42600
ABE,Aberdeen EM Smaller Company Fund,02062017,13.95,13.95,13.95,13.95,100
ABEO,Abeona Therapeutics,02062017,5.5,5.61,5.2,5.35,171600
ABEV,Ambev S.A.,02062017,5.74,5.74,5.6,5.67,83589800
ABG,Asbury Automotive Group Inc,02062017,57.6,57.9,56.15,56.7,183000
ABIL,Ability Inc,02062017,0.58,0.61,0.57,0.59,35800
ABIO,Arca Biopharma Inc,02062017,2.4,2.4,2.35,2.35,17300
ABM,ABM Industries Incorporated,02062017,43.96,44.93,43.96,44.28,209500
ABMD,Abiomed Inc,02062017,141.12,142.49,140.61,141.55,300700
ABR,Arbor Realty Trust,02062017,8.22,8.34,8.19,8.25,670600
ABR-A,Arbor Realty Trust Inc,02062017,25.64,25.64,25.64,25.64,100
ABR-B,Arbor Realty Trust Inc,02062017,25.05,25.05,25.05,25.05,100
ABR-C,Arbor Realty Trust,02062017,25.84,25.85,25.67,25.67,1100
ABRN,Arbor Realty Trust 7.375% Senior,02062017,25.51,25.55,25.35,25.5,3800
ABT,Abbott Laboratories,02062017,46.33,46.55,46.15,46.5,6885700
ABTL,Autobytel Inc,02062017,12.74,12.88,12.58,12.68,69600
ABTX,Allegiance Banc CS,02062017,38.65,38.9,38.4,38.55,54800
ABUS,Arbutus Biopharma Cp,02062017,3.4,3.45,3.35,3.45,70400
ABX,Barrick Gold Corp,02062017,16.45,16.61,16.2,16.2,11906200
ABY,Atlantica Yield Plc,02062017,21.09,21.18,20.73,20.98,855200
AC,Associated Capital Group Inc,02062017,34.2,34.6,34,34.1,16700
ACAD,Acadia Pharmaceutica,02062017,26.95,27.1,26.59,26.93,1062800
ACBI,Atlantic Capital Cmn,02062017,18.7,19.25,18.65,18.65,94200
