symbol,marcap,priceDate,quarterDate,capFilter,rank,
AMAG,576,20170606,03/31,50,1,
AGTC,87,20170606,03/31,50,2,
AGX,937,20170606,01/31,50,3,
AVID,200,20170606,03/31,50,4,
BPT,449,20170606,12/31,50,5,
CSCO,157736,20170606,04/30,50,6,
DLX,3323,20170606,03/31,50,7,
DHX,136,20170606,03/31,50,8,
ESRX,35760,20170606,03/31,50,9,
GME,2218,20170606,04/30,50,10,
GILD,84758,20170606,03/31,50,11,
ICON,340,20170606,12/31,50,12,
IDCC,2866,20170606,03/31,50,13,
LFVN,57,20170606,03/31,50,14,
MNKD,150,20170606,03/31,50,15,
MSGN,1584,20170606,03/31,50,16,
NHTC,320,20170606,03/31,50,17,
NTIP,100,20170606,12/31,50,18,
NSR,1833,20170606,03/31,50,19,
PDLI,404,20170606,03/31,50,20,
RCM,386,20170606,12/31,50,21,
SQBG,217,20170606,03/31,50,22,
SCMP,437,20170606,03/31,50,23,
SYNT,1429,20170606,03/31,50,24,
TGNA,3065,20170606,03/31,50,25,
TDC,3595,20170606,03/31,50,26,
TRNC,370,20170606,03/31,50,27,
UTHR,5742,20170606,03/31,50,28,
VEC,322,20170606,03/31,50,29,
VVUS,138,20170606,03/31,50,30,
