symbol,marcap,priceDate,quarterDate,capFilter,rank,
AMAG,685,20170717,20170331,400,1,
AMCX,3845,20170717,20170331,400,2,
AOBC,1168,20170717,20170430,400,3,
AGX,991,20170717,20170430,400,4,
HRB,6279,20170717,20170430,400,5,
BPT,434,20170717,20170331,400,6,
CARS,1741,20170717,20170331,400,7,
CSCO,157437,20170717,20170430,400,8,
CJREF,2210,20170717,20170531,400,9,
DLX,3413,20170717,20170331,400,10,
ESRX,37226,20170717,20170331,400,11,
GME,2155,20170717,20170430,400,12,
GILD,92993,20170717,20170331,400,13,
HPQ,31091,20170717,20170430,400,14,
IDCC,2630,20170717,20170331,400,15,
MIK,3459,20170717,20170430,400,16,
MPAA,547,20170717,20170331,400,17,
MSGN,1730,20170717,20170331,400,18,
NCMI,429,20170717,20170331,400,19,
NSR,1847,20170717,20170331,400,20,
OMC,19124,20170717,20170331,400,21,
SCMP,511,20170717,20170331,400,22,
SYNT,1400,20170717,20170331,400,23,
TGNA,3112,20170717,20170331,400,24,
TDC,3819,20170717,20170331,400,25,
TRNC,418,20170717,20170331,400,26,
UIS,662,20170717,20170331,400,27,
UTHR,5929,20170717,20170331,400,28,
USNA,1558,20170717,20170331,400,29,
VIAB,14170,20170717,20170331,400,30,
ACIA,1540,20170717,20170331,500,1,
AMAG,685,20170717,20170331,500,2,
AMCX,3845,20170717,20170331,500,3,
AOBC,1168,20170717,20170430,500,4,
AGX,991,20170717,20170430,500,5,
HRB,6279,20170717,20170430,500,6,
CARS,1741,20170717,20170331,500,7,
CSCO,157437,20170717,20170430,500,8,
CJREF,2210,20170717,20170531,500,9,
DLX,3413,20170717,20170331,500,10,
ESRX,37226,20170717,20170331,500,11,
GME,2155,20170717,20170430,500,12,
GILD,92993,20170717,20170331,500,13,
GHC,3351,20170717,20170331,500,14,
HPQ,31091,20170717,20170430,500,15,
IDCC,2630,20170717,20170331,500,16,
MIK,3459,20170717,20170430,500,17,
MPAA,547,20170717,20170331,500,18,
MSGN,1730,20170717,20170331,500,19,
NSR,1847,20170717,20170331,500,20,
OMC,19124,20170717,20170331,500,21,
PBI,2887,20170717,20170331,500,22,
SCMP,511,20170717,20170331,500,23,
SYNT,1400,20170717,20170331,500,24,
TGNA,3112,20170717,20170331,500,25,
TDC,3819,20170717,20170331,500,26,
UIS,662,20170717,20170331,500,27,
UTHR,5929,20170717,20170331,500,28,
USNA,1558,20170717,20170331,500,29,
VIAB,14170,20170717,20170331,500,30,
ACIA,1540,20170717,20170331,750,1,
AMCX,3845,20170717,20170331,750,2,
AOBC,1168,20170717,20170430,750,3,
AGX,991,20170717,20170430,750,4,
HRB,6279,20170717,20170430,750,5,
BKE,815,20170717,20170430,750,6,
