symbol,marcap,priceDate,quarterDate,capFilter,rank,
AMAG,669,20170727,20170331,200,1,
AGX,1009,20170727,20170430,200,2,
AVID,218,20170727,20170331,200,3,
HRB,6300,20170727,20170430,200,4,
BPT,436,20170727,20170331,200,5,
CPLA,818,20170727,20170630,200,6,
CARS,1727,20170727,20170331,200,7,
CSCO,157786,20170727,20170430,200,8,
EGRX,862,20170727,20170331,200,9,
ESRX,35995,20170727,20170630,200,10,
GME,2198,20170727,20170430,200,11,
HPQ,32336,20170727,20170430,200,12,
IDCC,2637,20170727,20170331,200,13,
MCFT,354,20170727,20170331,200,14,
MPAA,541,20170727,20170331,200,15,
MSGN,1632,20170727,20170331,200,16,
NHTC,283,20170727,20170331,200,17,
NSR,1844,20170727,20170331,200,18,
OMC,18218,20170727,20170630,200,19,
PDLI,398,20170727,20170331,200,20,
SQBG,208,20170727,20170630,200,21,
SCMP,501,20170727,20170331,200,22,
SYNT,1657,20170727,20170630,200,23,
TGNA,3290,20170727,20170331,200,24,
TRNC,431,20170727,20170331,200,25,
UIS,647,20170727,20170331,200,26,
UTHR,5828,20170727,20170331,200,27,
USNA,1381,20170727,20170630,200,28,
VEC,372,20170727,20170331,200,29,
VIAB,14246,20170727,20170331,200,30,
AMAG,669,20170727,20170331,300,1,
AOBC,1106,20170727,20170430,300,2,
AGX,1009,20170727,20170430,300,3,
HRB,6300,20170727,20170430,300,4,
BPT,436,20170727,20170331,300,5,
CPLA,818,20170727,20170630,300,6,
CARS,1727,20170727,20170331,300,7,
CSCO,157786,20170727,20170430,300,8,
EGRX,862,20170727,20170331,300,9,
ESRX,35995,20170727,20170630,300,10,
GME,2198,20170727,20170430,300,11,
HPQ,32336,20170727,20170430,300,12,
IDCC,2637,20170727,20170331,300,13,
MCFT,354,20170727,20170331,300,14,
MIK,3844,20170727,20170430,300,15,
MPAA,541,20170727,20170331,300,16,
MSGN,1632,20170727,20170331,300,17,
NSR,1844,20170727,20170331,300,18,
EGOV,1059,20170727,20170331,300,19,
OMC,18218,20170727,20170630,300,20,
PDLI,398,20170727,20170331,300,21,
SCMP,501,20170727,20170331,300,22,
SYNT,1657,20170727,20170630,300,23,
TGNA,3290,20170727,20170331,300,24,
TRNC,431,20170727,20170331,300,25,
UIS,647,20170727,20170331,300,26,
UTHR,5828,20170727,20170331,300,27,
USNA,1381,20170727,20170630,300,28,
VEC,372,20170727,20170331,300,29,
VIAB,14246,20170727,20170331,300,30,
AMAG,669,20170727,20170331,400,1,
AOBC,1106,20170727,20170430,400,2,
AGX,1009,20170727,20170430,400,3,
HRB,6300,20170727,20170430,400,4,
BPT,436,20170727,20170331,400,5,
CPLA,818,20170727,20170630,400,6,
CARS,1727,20170727,20170331,400,7,
CSCO,157786,20170727,20170430,400,8,
CJREF,2243,20170727,20170531,400,9,
EGRX,862,20170727,20170331,400,10,
ESRX,35995,20170727,20170630,400,11,
FFIV,7630,20170727,20170630,400,12,
GME,2198,20170727,20170430,400,13,
GHC,3303,20170727,20170331,400,14,
HPQ,32336,20170727,20170430,400,15,
IDCC,2637,20170727,20170331,400,16,
MIK,3844,20170727,20170430,400,17,
MPAA,541,20170727,20170331,400,18,
MSGN,1632,20170727,20170331,400,19,
NSR,1844,20170727,20170331,400,20,
EGOV,1059,20170727,20170331,400,21,
OMC,18218,20170727,20170630,400,22,
SCMP,501,20170727,20170331,400,23,
SYNT,1657,20170727,20170630,400,24,
TGNA,3290,20170727,20170331,400,25,
TRNC,431,20170727,20170331,400,26,
UIS,647,20170727,20170331,400,27,
UTHR,5828,20170727,20170331,400,28,
USNA,1381,20170727,20170630,400,29,
VIAB,14246,20170727,20170331,400,30,
AMAG,669,20170727,20170331,500,1,
AOBC,1106,20170727,20170430,500,2,
AGX,1009,20170727,20170430,500,3,
HRB,6300,20170727,20170430,500,4,
CPLA,818,20170727,20170630,500,5,
CARS,1727,20170727,20170331,500,6,
CSCO,157786,20170727,20170430,500,7,
CJREF,2243,20170727,20170531,500,8,
DIN,754,20170727,20170331,500,9,
EGRX,862,20170727,20170331,500,10,
ESRX,35995,20170727,20170630,500,11,
FFIV,7630,20170727,20170630,500,12,
GME,2198,20170727,20170430,500,13,
GHC,3303,20170727,20170331,500,14,
HPQ,32336,20170727,20170430,500,15,
IDCC,2637,20170727,20170331,500,16,
MIK,3844,20170727,20170430,500,17,
MPAA,541,20170727,20170331,500,18,
MSGN,1632,20170727,20170331,500,19,
NSR,1844,20170727,20170331,500,20,
EGOV,1059,20170727,20170331,500,21,
OMC,18218,20170727,20170630,500,22,
RGR,1001,20170727,20170331,500,23,
SCMP,501,20170727,20170331,500,24,
SYNT,1657,20170727,20170630,500,25,
TGNA,3290,20170727,20170331,500,26,
UIS,647,20170727,20170331,500,27,
UTHR,5828,20170727,20170331,500,28,
USNA,1381,20170727,20170630,500,29,
VIAB,14246,20170727,20170331,500,30,
AMCX,4506,20170727,20170331,750,1,
AOBC,1106,20170727,20170430,750,2,
AGX,1009,20170727,20170430,750,3,
HRB,6300,20170727,20170430,750,4,
BKE,847,20170727,20170430,750,5,
CPLA,818,20170727,20170630,750,6,
CARS,1727,20170727,20170331,750,7,
CSCO,157786,20170727,20170430,750,8,
CJREF,2243,20170727,20170531,750,9,
DIN,754,20170727,20170331,750,10,
EGRX,862,20170727,20170331,750,11,
ESRX,35995,20170727,20170630,750,12,
FFIV,7630,20170727,20170630,750,13,
GME,2198,20170727,20170430,750,14,
GHC,3303,20170727,20170331,750,15,
HPQ,32336,20170727,20170430,750,16,
IDCC,2637,20170727,20170331,750,17,
MIK,3844,20170727,20170430,750,18,
MSGN,1632,20170727,20170331,750,19,
NSR,1844,20170727,20170331,750,20,
EGOV,1059,20170727,20170331,750,21,
OMC,18218,20170727,20170630,750,22,
PBI,2932,20170727,20170331,750,23,
RGR,1001,20170727,20170331,750,24,
SYNT,1657,20170727,20170630,750,25,
TGNA,3290,20170727,20170331,750,26,
UTHR,5828,20170727,20170331,750,27,
USNA,1381,20170727,20170630,750,28,
VIAB,14246,20170727,20170331,750,29,
WNC,1185,20170727,20170331,750,30,
AMCX,4506,20170727,20170331,1000,1,
AOBC,1106,20170727,20170430,1000,2,
AGX,1009,20170727,20170430,1000,3,
BBY,17457,20170727,20170430,1000,4,
HRB,6300,20170727,20170430,1000,5,
CARS,1727,20170727,20170331,1000,6,
CSCO,157786,20170727,20170430,1000,7,
CJREF,2243,20170727,20170531,1000,8,
DISCA,15490,20170727,20170331,1000,9,
ESRX,35995,20170727,20170630,1000,10,
FFIV,7630,20170727,20170630,1000,11,
GME,2198,20170727,20170430,1000,12,
GNTX,4971,20170727,20170630,1000,13,
GHC,3303,20170727,20170331,1000,14,
HPQ,32336,20170727,20170430,1000,15,
IDCC,2637,20170727,20170331,1000,16,
KLAC,15655,20170727,20170630,1000,17,
MIK,3844,20170727,20170430,1000,18,
MSGN,1632,20170727,20170331,1000,19,
NSR,1844,20170727,20170331,1000,20,
EGOV,1059,20170727,20170331,1000,21,
OMC,18218,20170727,20170630,1000,22,
PBI,2932,20170727,20170331,1000,23,
RGR,1001,20170727,20170331,1000,24,
SYNT,1657,20170727,20170630,1000,25,
TGNA,3290,20170727,20170331,1000,26,
UTHR,5828,20170727,20170331,1000,27,
USNA,1381,20170727,20170630,1000,28,
VIAB,14246,20170727,20170331,1000,29,
WNC,1185,20170727,20170331,1000,30,
ACIA,1677,20170727,20170331,1250,1,
AMCX,4506,20170727,20170331,1250,2,
ABC,20806,20170727,20170331,1250,3,
BBY,17457,20170727,20170430,1250,4,
HRB,6300,20170727,20170430,1250,5,
CA,12857,20170727,20170331,1250,6,
CARS,1727,20170727,20170331,1250,7,
CSCO,157786,20170727,20170430,1250,8,
CJREF,2243,20170727,20170531,1250,9,
DISCA,15490,20170727,20170331,1250,10,
ESRX,35995,20170727,20170630,1250,11,
FFIV,7630,20170727,20170630,1250,12,
GME,2198,20170727,20170430,1250,13,
GNTX,4971,20170727,20170630,1250,14,
GHC,3303,20170727,20170331,1250,15,
HPQ,32336,20170727,20170430,1250,16,
IDCC,2637,20170727,20170331,1250,17,
KLAC,15655,20170727,20170630,1250,18,
MIK,3844,20170727,20170430,1250,19,
MSGN,1632,20170727,20170331,1250,20,
NSR,1844,20170727,20170331,1250,21,
OMC,18218,20170727,20170630,1250,22,
PBI,2932,20170727,20170331,1250,23,
SYNT,1657,20170727,20170630,1250,24,
TGNA,3290,20170727,20170331,1250,25,
TIME,1450,20170727,20170331,1250,26,
FOXA,54840,20170727,20170331,1250,27,
UTHR,5828,20170727,20170331,1250,28,
USNA,1381,20170727,20170630,1250,29,
VIAB,14246,20170727,20170331,1250,30,
ACIA,1677,20170727,20170331,1500,1,
AMCX,4506,20170727,20170331,1500,2,
ABC,20806,20170727,20170331,1500,3,
AMN,1824,20170727,20170331,1500,4,
BBY,17457,20170727,20170430,1500,5,
HRB,6300,20170727,20170430,1500,6,
CA,12857,20170727,20170331,1500,7,
CARS,1727,20170727,20170331,1500,8,
CSCO,157786,20170727,20170430,1500,9,
CJREF,2243,20170727,20170531,1500,10,
DISCA,15490,20170727,20170331,1500,11,
ESRX,35995,20170727,20170630,1500,12,
FFIV,7630,20170727,20170630,1500,13,
GME,2198,20170727,20170430,1500,14,
GNTX,4971,20170727,20170630,1500,15,
GHC,3303,20170727,20170331,1500,16,
HPQ,32336,20170727,20170430,1500,17,
IDCC,2637,20170727,20170331,1500,18,
JNPR,10651,20170727,20170630,1500,19,
KLAC,15655,20170727,20170630,1500,20,
MIK,3844,20170727,20170430,1500,21,
MSGN,1632,20170727,20170331,1500,22,
NSR,1844,20170727,20170331,1500,23,
OMC,18218,20170727,20170630,1500,24,
PBI,2932,20170727,20170331,1500,25,
SYNT,1657,20170727,20170630,1500,26,
TGNA,3290,20170727,20170331,1500,27,
FOXA,54840,20170727,20170331,1500,28,
UTHR,5828,20170727,20170331,1500,29,
VIAB,14246,20170727,20170331,1500,30,
AMCX,4506,20170727,20170331,1750,1,
ABC,20806,20170727,20170331,1750,2,
AMGN,125841,20170727,20170630,1750,3,
AMN,1824,20170727,20170331,1750,4,
BBY,17457,20170727,20170430,1750,5,
HRB,6300,20170727,20170430,1750,6,
CA,12857,20170727,20170331,1750,7,
CSCO,157786,20170727,20170430,1750,8,
CJREF,2243,20170727,20170531,1750,9,
